id,date,n1,n2,n3,n4,n5
114000001,2025-01-01,02,07,08,10,14
114000002,2025-01-02,12,26,30,32,33
114000003,2025-01-03,05,06,08,11,14
114000004,2025-01-04,08,09,12,21,23
114000005,2025-01-06,07,21,22,27,35
114000006,2025-01-07,13,23,27,31,37
114000007,2025-01-08,12,18,20,24,31
114000008,2025-01-09,02,08,19,21,29
114000009,2025-01-10,09,11,15,18,20
114000010,2025-01-11,05,12,13,19,34
114000011,2025-01-13,04,12,28,35,38
114000012,2025-01-14,10,22,31,35,36
114000013,2025-01-15,03,21,22,26,39
114000014,2025-01-16,09,13,23,29,34
114000015,2025-01-17,04,07,08,24,26
114000016,2025-01-18,07,12,18,35,39
114000017,2025-01-20,03,12,19,32,34
114000018,2025-01-21,01,14,18,19,22
114000019,2025-01-22,06,19,23,26,30
114000020,2025-01-23,05,11,15,24,38
114000021,2025-01-24,04,12,20,33,39
114000022,2025-01-25,09,16,22,25,30
114000023,2025-01-27,01,08,14,21,37
114000024,2025-01-28,10,13,29,31,35
114000025,2025-01-29,02,17,23,28,34
114000026,2025-01-30,06,12,20,27,39
114000027,2025-01-31,03,09,18,25,36
